,Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
147,913227,533,8/31/2015 18:47,Market at 10th,67,8/31/2015 18:56,Washington at Kearny,46.0,547.0,Subscriber,94103
148,913226,182,8/31/2015 18:46,Townsend at 7th,65,8/31/2015 18:49,San Francisco Caltrain (Townsend at 4th),70.0,607.0,Subscriber,95051
149,913225,521,8/31/2015 18:45,2nd at Townsend,61,8/31/2015 18:54,Market at Sansome,77.0,236.0,Subscriber,94401
150,913224,1015,8/31/2015 18:45,Beale at Market,56,8/31/2015 19:02,Market at 10th,67.0,531.0,Subscriber,94103
151,913223,738,8/31/2015 18:45,Santa Clara County Civic Center,80,8/31/2015 18:57,San Pedro Square,6.0,308.0,Subscriber,95110
152,913222,248,8/31/2015 18:44,Broadway St at Battery St,82,8/31/2015 18:48,Steuart at Market,74.0,409.0,Subscriber,94702
153,913221,571,8/31/2015 18:44,2nd at Townsend,61,8/31/2015 18:53,Post at Kearny,47.0,392.0,Subscriber,94109
154,913220,136,8/31/2015 18:44,Embarcadero at Folsom,51,8/31/2015 18:46,Embarcadero at Bryant,54.0,618.0,Subscriber,94115
155,913219,455,8/31/2015 18:44,5th at Howard,57,8/31/2015 18:51,Temporary Transbay Terminal (Howard at Beale),55.0,456.0,Subscriber,94530
156,913218,584,8/31/2015 18:43,Steuart at Market,74,8/31/2015 18:53,San Francisco Caltrain (Townsend at 4th),70.0,470.0,Subscriber,94105
157,913217,797,8/31/2015 18:43,San Jose Diridon Caltrain Station,2,8/31/2015 18:56,SJSU - San Salvador at 9th,16.0,14.0,Subscriber,95112
158,913216,559,8/31/2015 18:41,San Jose Diridon Caltrain Station,2,8/31/2015 18:51,Ryland Park,84.0,702.0,Subscriber,95110
159,913215,439,8/31/2015 18:40,Market at 4th,76,8/31/2015 18:48,San Francisco Caltrain (Townsend at 4th),70.0,652.0,Subscriber,2139
160,913214,334,8/31/2015 18:40,5th at Howard,57,8/31/2015 18:45,San Francisco Caltrain 2 (330 Townsend),69.0,405.0,Subscriber,95050
161,913213,332,8/31/2015 18:39,Mountain View Caltrain Station,28,8/31/2015 18:45,Castro Street and El Camino Real,32.0,147.0,Subscriber,94041
162,913212,73,8/31/2015 18:39,5th at Howard,57,8/31/2015 18:40,5th at Howard,57.0,456.0,Subscriber,94107
163,913211,7558,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 20:44,Embarcadero at Sansome,60.0,385.0,Customer,34
164,913210,7472,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 20:43,Embarcadero at Sansome,60.0,585.0,Customer,34
165,913209,375,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 18:45,Steuart at Market,74.0,557.0,Subscriber,94612
166,913208,265,8/31/2015 18:38,Market at Sansome,77,8/31/2015 18:42,Temporary Transbay Terminal (Howard at Beale),55.0,461.0,Subscriber,94610
167,913207,286,8/31/2015 18:38,Embarcadero at Sansome,60,8/31/2015 18:42,Steuart at Market,74.0,279.0,Subscriber,94609
168,913205,554,8/31/2015 18:37,Mountain View Caltrain Station,28,8/31/2015 18:46,Rengstorff Avenue / California Street,33.0,251.0,Subscriber,94043
169,913204,453,8/31/2015 18:36,Embarcadero at Bryant,54,8/31/2015 18:44,San Francisco Caltrain 2 (330 Townsend),69.0,594.0,Customer,94105
